CB_m1_0h	CB_m2_0h	CB_m3_0h	CB_m4_6h_flag	CB_m5_6h_flag	CB_m6_6h_flag	CB_m7_6h_aCD3	CB_m8_6h_aCD3	CB_m9_6h_aCD3	CB_m10_24h_flag	CB_m11_24h_flag	CB_m12_24h_flag	CB_m13_24h_aCD3	CB_m14_24h_aCD3	CB_m15_24h_aCD3
ID=fig|208479.6.peg.4770;Name=hypothetical protein	0	0	0	0	0	0	0	0	2	0	2	0	2	0	0
ID=fig|208479.6.peg.4771;Name=hypothetical protein	2	4	2	2	0	0	2	2	0	2	0	0	2	2	0
ID=fig|208479.6.peg.4772;Name=Phage tail length tape-measure protein	0	0	0	2	0	2	2	0	2	2	2	4	0	0	0
ID=fig|208479.6.peg.4773;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4774;Name=N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28);Ontology_term=KEGG_ENZYME:3.5.1.28	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0
ID=fig|208479.6.peg.4775;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0
ID=fig|208479.6.peg.4776;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4777;Name=hypothetical protein	0	0	0	0	0	0	4	0	2	0	0	2	0	0	0
ID=fig|208479.6.peg.4778;Name=hypothetical protein	0	2	0	0	0	0	0	0	0	2	0	0	0	2	0
ID=fig|208479.6.peg.4779;Name=hypothetical protein	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0
ID=fig|208479.6.peg.4780;Name=hypothetical protein	2	2	0	0	0	4	6	0	0	8	2	2	2	6	0
ID=fig|208479.6.peg.4781;Name=hypothetical protein	0	2	0	0	0	0	2	0	0	2	0	0	0	0	2
ID=fig|208479.6.peg.4782;Name=FIG00530506: hypothetical protein	0	2	1	0	2	0	0	0	0	0	2	0	0	2	2
ID=fig|208479.6.peg.4783;Name=FIG00526304: hypothetical protein	1	2	3	0	2	2	2	0	0	0	0	2	0	2	0
ID=fig|208479.6.peg.4784;Name=hypothetical protein	1	0	0	2	0	0	0	1	0	0	2	0	0	0	0
ID=fig|208479.6.peg.4785;Name=hypothetical protein	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4786;Name=hypothetical protein	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4787;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4788;Name=FIG00525427: hypothetical protein	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ID=fig|208479.6.peg.4789;Name=hypothetical protein	0	0	2	2	0	0	2	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4790;Name=hypothetical protein	0	0	0	2	0	2	0	0	2	0	0	0	0	2	0
ID=fig|208479.6.peg.4791;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4792;Name=hypothetical protein	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ID=fig|208479.6.peg.4793;Name=hypothetical protein	2	0	0	0	0	0	1	0	1	0	2	0	0	0	0
ID=fig|208479.6.peg.4794;Name=Cell surface protein	239	37	34	41	43	22	111	27	44	251	225	194	181	59	18
ID=fig|208479.6.peg.4795;Name=hypothetical protein	8	0	6	0	2	0	2	2	0	6	2	4	6	0	2
ID=fig|208479.6.peg.4796;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
ID=fig|208479.6.peg.4797;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4798;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4799;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4800;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4801;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4802;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4803;Name=conserved protein	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ID=fig|208479.6.peg.4804;Name=hypothetical protein	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4805;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4806;Name=hypothetical protein	0	2	0	0	0	0	2	0	0	0	0	0	2	0	0
ID=fig|208479.6.peg.4807;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4808;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4809;Name=hypothetical protein	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ID=fig|208479.6.peg.4810;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
ID=fig|208479.6.peg.4811;Name=hypothetical protein	2	2	0	2	0	0	0	2	0	0	1	2	0	0	0
ID=fig|208479.6.peg.4812;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0
ID=fig|208479.6.peg.4813;Name=hypothetical protein	0	4	2	2	4	0	2	0	6	6	8	8	0	6	2
ID=fig|208479.6.peg.4814;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4815;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4816;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0
ID=fig|208479.6.peg.4817;Name=hypothetical protein	2	0	0	2	0	0	2	0	0	2	4	0	0	0	0
ID=fig|208479.6.peg.4818;Name=hypothetical protein	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4819;Name=hypothetical protein	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4820;Name=hypothetical protein	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4821;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4822;Name=hypothetical protein	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4823;Name=hypothetical protein	0	0	0	2	2	0	0	0	0	0	0	2	0	0	0
ID=fig|208479.6.peg.4824;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ID=fig|208479.6.peg.4825;Name=hypothetical protein	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ID=fig|208479.6.peg.4826;Name=hypothetical protein	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0
ID=fig|208479.6.peg.4827;Name=hypothetical protein	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0
ID=fig|208479.6.peg.4828;Name=hypothetical protein	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0
ID=fig|208479.6.peg.4829;Name=hypothetical protein	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4830;Name=hypothetical protein	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ID=fig|208479.6.peg.4831;Name=hypothetical protein	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4832;Name=hypothetical protein	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ID=fig|208479.6.peg.4833;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4834;Name=hypothetical protein	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ID=fig|208479.6.peg.4835;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4836;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4837;Name=hypothetical protein	2	0	0	0	2	0	4	0	0	0	6	0	2	0	0
ID=fig|208479.6.peg.4838;Name=hypothetical protein	8	0	0	0	2	0	6	0	2	0	3	2	8	4	0
ID=fig|208479.6.peg.4839;Name=hypothetical protein	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0
ID=fig|208479.6.peg.4840;Name=hypothetical protein	0	0	0	2	2	0	2	0	0	0	0	2	2	2	0
ID=fig|208479.6.peg.4841;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4842;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ID=fig|208479.6.peg.4843;Name=hypothetical protein	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4844;Name=hypothetical protein	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4845;Name=hypothetical protein	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4846;Name=hypothetical protein	2	2	0	4	6	6	8	6	4	13	16	6	8	6	4
ID=fig|208479.6.peg.4847;Name=Ribosomal RNA large subunit methyltransferase A (EC 2.1.1.51);Ontology_term=KEGG_ENZYME:2.1.1.51	10	77	4	4	39	6	6	0	57	33	24	17	18	14	46
ID=fig|208479.6.peg.4848;Name=hypothetical protein	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2
ID=fig|208479.6.peg.4849;Name=Histidinol-phosphatase (EC 3.1.3.15);Ontology_term=KEGG_ENZYME:3.1.3.15	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ID=fig|208479.6.peg.4850;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0
ID=fig|208479.6.peg.4851;Name=hypothetical protein	0	0	0	0	0	0	2	0	0	2	2	0	2	2	0
ID=fig|208479.6.peg.4852;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0
ID=fig|208479.6.peg.4853;Name=hypothetical protein	0	2	4	4	2	0	18	0	10	4	6	10	0	2	0
ID=fig|208479.6.peg.4854;Name=hypothetical protein	2	0	2	0	0	0	2	0	0	2	0	2	0	2	0
ID=fig|208479.6.peg.4855;Name=FIG00632201: hypothetical protein	2	16	4	6	2	4	22	6	8	6	12	14	8	6	6
ID=fig|208479.6.peg.4856;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ID=fig|208479.6.peg.4857;Name=DNA primase (EC 2.7.7.-);Ontology_term=KEGG_ENZYME:2.7.7.-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4858;Name=Chromosome (plasmid) partitioning protein ParA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4859;Name=DNA topoisomerase III (EC 5.99.1.2);Ontology_term=KEGG_ENZYME:5.99.1.2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ID=fig|208479.6.peg.4860;Name=ATPase component BioM of energizing module of biotin ECF transporter	6	14	6	10	12	2	18	6	14	18	12	14	44	14	8
ID=fig|208479.6.peg.4861;Name=Bacteriocin-like protein	0	0	0	0	2	2	4	0	2	0	0	6	0	0	0
ID=fig|208479.6.peg.4862;Name=FIG00629143: hypothetical protein	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0
ID=fig|208479.6.peg.4863;Name=NLP/P60 family protein	0	2	0	2	0	0	0	0	0	0	0	0	0	2	0
ID=fig|208479.6.peg.4864;Name=TrsE-like protein	0	0	0	0	2	2	4	4	0	2	0	0	2	0	0
ID=fig|208479.6.peg.4865;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4866;Name=Tn5252%2C Orf23	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4867;Name=FIG00518845: hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4868;Name=hypothetical protein	2	0	0	0	0	0	2	2	0	0	0	2	0	2	0
ID=fig|208479.6.peg.4869;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0
ID=fig|208479.6.peg.4870;Name=TrsK-like protein	0	2	2	0	2	0	0	0	0	0	0	4	2	2	0
ID=fig|208479.6.repeat.38;Name=repeat region	6	0	2	0	4	4	2	2	0	2	8	9	0	8	0
ID=fig|208479.6.peg.4871;Name=Retron-type RNA-directed DNA polymerase (EC 2.7.7.49);Ontology_term=KEGG_ENZYME:2.7.7.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4872;Name=TrsK-like protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4873;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4874;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4875;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4876;Name=hypothetical protein	0	0	0	0	2	2	0	0	0	0	0	2	0	0	0
ID=fig|208479.6.peg.4877;Name=Chromosome (plasmid) partitioning protein ParB	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ID=fig|208479.6.peg.4878;Name=Chromosome (plasmid) partitioning protein ParA	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0
ID=fig|208479.6.peg.4879;Name=hypothetical protein	0	0	0	2	0	0	0	0	0	0	2	2	0	0	0
ID=fig|208479.6.peg.4880;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4881;Name=hypothetical protein	14	42	20	16	38	14	22	6	10	64	26	34	34	16	20
ID=fig|208479.6.peg.4882;Name=Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10);Ontology_term=KEGG_ENZYME:2.1.2.10	42	78	87	91	105	48	150	74	108	72	68	181	112	116	53
ID=fig|208479.6.peg.4883;Name=Glycine cleavage system H protein	20	36	68	39	66	36	66	52	55	45	50	113	62	68	20
ID=fig|208479.6.peg.4884;Name=Glycine dehydrogenase [decarboxylating] (glycine cleavage system P1 protein) (EC 1.4.4.2);Ontology_term=KEGG_ENZYME:1.4.4.2	88	225	239	185	315	233	359	238	261	224	157	323	219	278	88
ID=fig|208479.6.peg.4885;Name=Glycine dehydrogenase [decarboxylating] (glycine cleavage system P2 protein) (EC 1.4.4.2);Ontology_term=KEGG_ENZYME:1.4.4.2	52	239	221	246	293	260	383	238	355	235	146	311	255	292	165
ID=fig|208479.6.peg.4886;Name=Lipoate-protein ligase A	6	16	18	4	10	13	24	8	21	14	6	34	18	16	7
ID=fig|208479.6.peg.4887;Name=Dihydrolipoamide dehydrogenase (EC 1.8.1.4);Ontology_term=KEGG_ENZYME:1.8.1.4	6	24	15	16	18	26	16	22	29	16	7	22	14	9	4
ID=fig|208479.6.peg.4888;Name=hypothetical protein	14	25	25	16	26	25	30	32	32	36	13	47	30	33	12
ID=fig|208479.6.peg.4889;Name=hypothetical protein	2	19	21	5	12	11	22	12	2	24	17	31	32	24	4
ID=fig|208479.6.peg.4890;Name=hypothetical protein	4	5	11	3	6	7	4	2	6	13	9	15	20	10	4
ID=fig|208479.6.peg.4891;Name=hypothetical protein	6	10	12	0	12	2	4	2	4	32	24	39	32	6	2
ID=fig|208479.6.peg.4892;Name=ABC transporter membrane-spanning permease - glutamine transport	6	12	14	6	14	4	12	8	4	29	31	23	12	10	2
ID=fig|208479.6.peg.4893;Name=hypothetical protein	10	10	10	4	10	6	14	4	6	31	34	36	26	16	8
ID=fig|208479.6.peg.4894;Name=TRAP-type C4-dicarboxylate transport system%2C large permease component	4	10	10	2	1	6	6	2	4	16	14	22	14	5	2
ID=fig|208479.6.peg.4895;Name=TRAP-type C4-dicarboxylate transport system%2C small permease component	0	4	2	0	1	0	0	2	0	6	4	6	2	3	0
ID=fig|208479.6.peg.4896;Name=TRAP-type C4-dicarboxylate transport system%2C periplasmic component	2	6	4	0	4	0	6	2	4	19	11	12	2	5	2
ID=fig|208479.6.peg.4897;Name=Alpha-glucosidase (EC 3.2.1.20);Ontology_term=KEGG_ENZYME:3.2.1.20	14	22	24	0	6	6	10	2	0	17	19	42	4	19	4
ID=fig|208479.6.peg.4898;Name=Two-component transcriptional response regulator%2C LuxR family	6	10	5	2	11	4	10	4	7	3	10	8	10	6	4
ID=fig|208479.6.peg.4899;Name=hypothetical protein	15	28	50	47	45	142	87	64	59	51	17	97	95	64	88
ID=fig|208479.6.peg.4900;Name=hypothetical protein	11	7	14	20	14	32	32	25	12	21	6	45	21	28	16
ID=fig|208479.6.peg.4901;Name=hypothetical protein	11	23	14	6	21	30	41	25	41	21	20	34	18	12	23
ID=fig|208479.6.peg.4902;Name=hypothetical protein	51	999	135	30	729	253	84	51	291	546	170	135	91	111	154
ID=fig|208479.6.peg.4903;Name=PspC domain protein%2C truncated	13	1890	131	13	1246	353	7	14	481	896	404	202	46	71	234
ID=fig|208479.6.peg.4904;Name=hypothetical protein	167	8684	571	116	4861	1355	40	34	1760	3799	1731	813	108	358	1106
ID=fig|208479.6.peg.4905;Name=hypothetical protein	222	12091	807	149	6841	1933	46	36	2334	4465	2085	1070	130	564	1245
ID=fig|208479.6.peg.4906;Name=Transcriptional regulator%2C PadR family	82	2641	180	30	1666	393	20	8	719	1460	892	477	39	183	354
ID=fig|208479.6.peg.4907;Name=hypothetical protein	10	0	2	0	4	0	0	0	0	6	8	2	16	4	4
ID=fig|208479.6.peg.4908;Name=hypothetical protein	2	0	0	0	0	0	0	0	2	3	2	8	0	0	0
ID=fig|208479.6.peg.4909;Name=hypothetical protein	2	2	4	2	0	0	1	2	0	7	0	0	4	3	0
ID=fig|208479.6.peg.4910;Name=hypothetical protein	3	0	0	1	0	0	1	0	0	0	0	0	0	1	0
ID=fig|208479.6.peg.4911;Name=hypothetical protein	1	0	0	9	0	0	2	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4912;Name=hypothetical protein	632	96	701	738	506	463	1252	616	830	346	222	560	751	936	418
ID=fig|208479.6.peg.4913;Name=hypothetical protein	74	0	9	14	2	9	5	2	8	2	9	0	0	2	0
ID=fig|208479.6.peg.4914;Name=hypothetical protein	6	0	0	4	2	1	0	0	0	2	2	0	0	2	0
ID=fig|208479.6.peg.4915;Name=hypothetical protein	36	4	24	49	18	5	20	0	16	2	13	2	2	0	4
ID=fig|208479.6.peg.4916;Name=hypothetical protein	253	0	28	74	32	16	62	20	42	14	16	0	2	6	2
ID=fig|208479.6.peg.4917;Name=hypothetical protein	56	0	4	14	4	0	12	4	14	6	3	0	0	2	0
ID=fig|208479.6.peg.4918;Name=hypothetical protein	74	0	2	24	4	0	10	2	21	4	14	0	0	2	0
ID=fig|208479.6.peg.4919;Name=hypothetical protein	78	2	8	32	8	6	24	4	33	10	18	0	0	0	0
ID=fig|208479.6.peg.4920;Name=hypothetical protein	36	0	10	51	12	6	18	2	14	4	8	0	0	0	0
ID=fig|208479.6.peg.4921;Name=hypothetical protein	11	0	9	12	6	0	8	0	3	2	4	0	0	0	0
ID=fig|208479.6.peg.4922;Name=hypothetical protein	0	0	14	8	8	0	8	0	4	4	5	2	0	0	0
ID=fig|208479.6.peg.4923;Name=hypothetical protein	2	0	2	11	0	0	5	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4924;Name=hypothetical protein	68	2	18	20	6	0	26	7	28	4	13	0	0	2	0
ID=fig|208479.6.peg.4925;Name=hypothetical protein	8	0	0	19	2	0	5	1	6	10	3	0	0	0	0
ID=fig|208479.6.peg.4926;Name=hypothetical protein	0	2	28	73	9	6	6	10	18	16	5	0	2	2	0
ID=fig|208479.6.peg.4927;Name=hypothetical protein	1	0	3	23	1	0	2	0	9	10	6	0	0	0	0
ID=fig|208479.6.peg.4928;Name=hypothetical protein	6	4	53	73	4	6	23	2	19	19	9	4	4	2	0
ID=fig|208479.6.peg.4929;Name=hypothetical protein	65	0	112	196	85	36	162	34	126	35	39	0	0	4	0
ID=fig|208479.6.peg.4930;Name=hypothetical protein	0	2	4	14	0	0	7	0	2	10	1	0	0	0	0
ID=fig|208479.6.peg.4931;Name=hypothetical protein	2	2	14	30	6	2	11	2	6	6	2	2	0	0	0
ID=fig|208479.6.peg.4932;Name=hypothetical protein	4	0	14	8	2	0	14	0	4	4	2	2	0	0	0
ID=fig|208479.6.peg.4933;Name=hypothetical protein	4	0	4	14	0	2	1	0	0	2	3	0	0	0	0
ID=fig|208479.6.peg.4934;Name=hypothetical protein	2	6	45	71	8	2	24	8	14	30	17	2	0	0	0
ID=fig|208479.6.peg.4935;Name=hypothetical protein	9	4	24	39	2	0	16	0	6	14	5	0	0	0	0
ID=fig|208479.6.peg.4936;Name=hypothetical protein	3	2	12	17	0	0	4	0	0	3	1	0	0	0	0
ID=fig|208479.6.peg.4937;Name=hypothetical protein	0	0	11	9	0	0	2	2	0	9	4	0	0	0	0
ID=fig|208479.6.peg.4938;Name=hypothetical protein	7	2	30	27	7	0	8	1	10	2	14	2	0	0	0
ID=fig|208479.6.peg.4939;Name=hypothetical protein	29	0	9	19	7	0	10	1	4	14	6	2	2	0	0
ID=fig|208479.6.peg.4940;Name=hypothetical protein	3	0	1	5	0	0	2	0	3	8	0	0	0	0	0
ID=fig|208479.6.peg.4941;Name=hypothetical protein	33	10	195	253	32	6	80	8	31	87	36	2	0	2	0
ID=fig|208479.6.peg.4942;Name=hypothetical protein	0	0	19	25	2	2	22	2	6	19	2	2	0	0	2
ID=fig|208479.6.peg.4943;Name=hypothetical protein	2	4	12	48	8	2	6	4	12	10	8	2	0	0	0
ID=fig|208479.6.peg.4944;Name=hypothetical protein	4	2	8	23	1	2	6	2	6	0	0	0	0	0	0
ID=fig|208479.6.peg.4945;Name=hypothetical protein	12	4	16	39	9	2	18	0	12	18	4	0	0	0	0
ID=fig|208479.6.peg.4946;Name=hypothetical protein	14	0	2	39	2	0	10	6	22	2	6	0	0	0	0
ID=fig|208479.6.peg.4947;Name=hypothetical protein	0	0	0	4	0	0	3	0	0	2	0	0	0	0	0
ID=fig|208479.6.peg.4948;Name=hypothetical protein	0	0	2	15	0	0	2	0	0	0	2	2	0	0	0
ID=fig|208479.6.peg.4949;Name=hypothetical protein	4	0	3	8	8	0	6	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4950;Name=hypothetical protein	6	0	14	8	0	0	5	2	0	6	2	0	0	0	0
ID=fig|208479.6.peg.4951;Name=hypothetical protein	2	0	3	6	2	0	1	0	4	7	4	0	2	0	0
ID=fig|208479.6.peg.4952;Name=hypothetical protein	6	0	16	42	4	0	14	0	2	14	8	0	0	0	0
ID=fig|208479.6.peg.4953;Name=LemA family protein	0	0	4	21	2	0	12	2	4	12	8	0	2	0	0
ID=fig|208479.6.peg.4954;Name=hypothetical protein	4	0	6	26	0	2	4	0	6	9	2	0	0	0	2
ID=fig|208479.6.peg.4955;Name=hypothetical protein	0	0	3	4	0	0	2	0	0	6	0	0	2	0	0
ID=fig|208479.6.peg.4956;Name=hypothetical protein	2	2	1	7	1	0	3	0	2	7	2	0	0	0	0
ID=fig|208479.6.peg.4957;Name=hypothetical protein	2	0	4	13	1	0	1	0	4	1	2	0	0	0	0
ID=fig|208479.6.peg.4958;Name=conserved protein	0	0	15	22	5	2	6	0	2	3	2	0	2	0	0
ID=fig|208479.6.peg.4959;Name=hypothetical protein	0	0	5	2	3	0	0	0	2	3	2	0	0	0	2
ID=fig|208479.6.peg.4960;Name=hypothetical protein	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4961;Name=hypothetical protein	2	0	10	6	0	0	4	0	6	4	1	2	3	0	0
ID=fig|208479.6.peg.4962;Name=hypothetical protein	1	0	0	6	0	0	0	2	0	2	3	0	3	0	0
ID=fig|208479.6.peg.4963;Name=hypothetical protein	1	0	0	10	0	0	0	0	6	4	4	0	0	0	0
ID=fig|208479.6.peg.4964;Name=hypothetical protein	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4965;Name=hypothetical protein	0	0	3	6	2	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.4966;Name=hypothetical protein	2	0	0	5	0	0	6	0	0	6	8	0	0	0	0
ID=fig|208479.6.peg.4967;Name=Ribonucleotide reductase of class III (anaerobic)%2C activating protein (EC 1.97.1.4);Ontology_term=KEGG_ENZYME:1.97.1.4	2	0	4	5	0	0	4	0	0	0	2	0	2	0	0
ID=fig|208479.6.peg.4968;Name=hypothetical protein	122	0	0	16	2	0	4	0	10	4	10	0	0	0	0
ID=fig|208479.6.peg.4969;Name=Ribonucleotide reductase of class III (anaerobic)%2C large subunit (EC 1.17.4.2);Ontology_term=KEGG_ENZYME:1.17.4.2	6	2	40	48	10	2	28	0	16	24	10	2	2	2	0
ID=fig|208479.6.peg.4970;Name=protein of unknown function DUF1653	0	0	1	6	0	0	2	0	4	0	2	2	3	0	0
ID=fig|208479.6.peg.4971;Name=MazG-related NTP pyrophosphohydrolase BB0760	4	0	3	4	4	0	0	0	0	4	2	0	0	0	0
ID=fig|208479.6.peg.4972;Name=hypothetical protein	3	0	2	2	2	2	0	0	0	3	0	2	0	0	0
ID=fig|208479.6.peg.4973;Name=hypothetical protein	3	0	4	13	0	0	2	0	2	5	4	0	0	0	0
ID=fig|208479.6.peg.4974;Name=hypothetical protein	0	2	4	13	1	2	0	0	0	4	4	0	2	0	0
ID=fig|208479.6.peg.4975;Name=hypothetical protein	0	0	4	22	0	0	1	0	3	10	1	2	0	0	2
ID=fig|208479.6.peg.4976;Name=hypothetical protein	77	17	25	29	35	23	57	12	69	45	62	101	52	42	21
ID=fig|208479.6.peg.4977;Name=hypothetical protein	36	2	11	12	2	2	4	0	2	6	14	0	2	0	0
ID=fig|208479.6.peg.4978;Name=hypothetical protein	12	1	30	32	6	0	11	3	4	15	5	0	0	2	0
ID=fig|208479.6.peg.4979;Name=hypothetical protein	75	21	167	183	39	0	60	6	12	129	40	4	0	4	0
ID=fig|208479.6.peg.4980;Name=hypothetical protein	1	0	4	24	5	0	3	0	0	4	14	0	0	0	0
ID=fig|208479.6.peg.4981;Name=FIG00525427: hypothetical protein	4	2	18	6	0	0	4	0	2	4	6	0	0	0	0
ID=fig|208479.6.peg.4982;Name=hypothetical protein	7	0	9	12	0	0	6	0	2	10	4	0	0	2	0
ID=fig|208479.6.peg.4983;Name=hypothetical protein	3	0	9	8	2	0	6	2	0	10	4	0	0	0	0
ID=fig|208479.6.peg.4984;Name=hypothetical protein	5	0	5	7	4	0	7	0	0	8	9	0	0	0	0
ID=fig|208479.6.peg.4985;Name=hypothetical protein	7	0	28	19	4	0	18	0	0	17	9	2	0	0	0
ID=fig|208479.6.peg.4986;Name=FIG00526304: hypothetical protein	24	2	57	124	10	4	29	2	18	54	16	6	4	4	0
ID=fig|208479.6.peg.4987;Name=hypothetical protein	2	2	31	25	4	0	11	0	8	18	13	0	0	0	0
ID=fig|208479.6.peg.4988;Name=FIG00530506: hypothetical protein	22	10	143	121	20	8	33	0	12	87	48	2	2	8	0
ID=fig|208479.6.peg.4989;Name=hypothetical protein	17	8	55	98	13	4	23	2	8	59	32	2	0	2	2
ID=fig|208479.6.peg.4990;Name=hypothetical protein	56	14	376	287	65	12	119	12	36	207	78	2	0	8	0
